service_id;date;exception_type
IST_BL-2-31;20240214;2
IST_BL-2-31;20240215;2
IST_BL-2-31;20240216;2
IST_BL-2-31;20240219;2
IST_BL-2-31;20240220;2
IST_BL-2-31;20240221;2
IST_BL-2-31;20240222;2
IST_BL-2-31;20240223;2
IST_BL-2-31;20240311;2
IST_BL-2-31;20240312;2
IST_BL-2-31;20240313;2
IST_BL-2-31;20240314;2
IST_BL-2-31;20240315;2
IST_BL-2-31;20240318;2
IST_BL-2-31;20240319;2
IST_BL-2-31;20240320;2
IST_BL-2-31;20240321;2
IST_BL-2-31;20240322;2
IST_BL-2-31;20240325;2
IST_BL-2-31;20240326;2
IST_BL-2-31;20240327;2
IST_BL-2-31;20240328;2
IST_BL-2-31;20240329;2
IST_BL-2-31;20240401;2
IST_BL-2-31;20240402;2
IST_BL-2-31;20240403;2
IST_BL-2-31;20240404;2
IST_BL-2-31;20240405;2
IST_BL-2-31;20240408;2
IST_BL-2-31;20240409;2
IST_BL-2-31;20240410;2
IST_BL-2-31;20240411;2
IST_BL-2-31;20240412;2
IST_BL-2-31;20240415;2
IST_BL-2-31;20240416;2
IST_BL-2-31;20240417;2
IST_BL-2-31;20240418;2
IST_BL-2-31;20240419;2
IST_BL-2-31;20240501;2
IST_BL-2-31;20240506;2
IST_BL-2-31;20240507;2
IST_BL-2-31;20240508;2
IST_BL-2-31;20240509;2
IST_BL-2-31;20240513;2
IST_BL-2-31;20240514;2
IST_BL-2-31;20240515;2
IST_BL-2-31;20240516;2
IST_BL-2-31;20240517;2
IST_BL-2-31;20240520;2
IST_BL-2-31;20240521;2
IST_BL-2-31;20240522;2
IST_BL-2-31;20240523;2
IST_BL-2-31;20240524;2
IST_BL-2-31;20240527;2
IST_BL-2-31;20240528;2
IST_BL-2-31;20240529;2
IST_BL-2-31;20240530;2
IST_BL-2-31;20240531;2
IST_BL-2-31;20240603;2
IST_BL-2-31;20240604;2
IST_BL-2-31;20240605;2
IST_BL-2-31;20240606;2
IST_BL-2-31;20240607;2
IST_BL-2-31;20240610;2
IST_BL-2-31;20240611;2
IST_BL-2-31;20240612;2
IST_BL-2-31;20240613;2
IST_BL-2-31;20240614;2
IST_BL-2-31;20240617;2
IST_BL-2-31;20240618;2
IST_BL-2-31;20240619;2
IST_BL-2-31;20240620;2
IST_BL-2-31;20240621;2
IST_M1-2-32;20231028;2
IST_M1-2-32;20231104;2
IST_M1-2-32;20231111;2
IST_M1-2-32;20231230;2
IST_M1-2-32;20240106;2
IST_M1-2-32;20240302;2
IST_M1-2-32;20240309;2
IST_M1-2-32;20240427;2
IST_M1-2-32;20240504;2
IST_M1-2-32;20240511;2
IST_M2-2-32;20231111;2
IST_M2-2-32;20231118;2
IST_M2-2-32;20231125;2
IST_M2-2-32;20231202;2
IST_M2-2-32;20231209;2
IST_M2-2-32;20231216;2
IST_M2-2-32;20231223;2
IST_M2-2-32;20240113;2
IST_M2-2-32;20240120;2
IST_M2-2-32;20240127;2
IST_M2-2-32;20240203;2
IST_M2-2-32;20240210;2
IST_M2-2-32;20240217;2
IST_M2-2-32;20240224;2
IST_M2-2-32;20240316;2
IST_M2-2-32;20240323;2
IST_M2-2-32;20240330;2
IST_M2-2-32;20240406;2
IST_M2-2-32;20240413;2
IST_M2-2-32;20240420;2
IST_R1-2-11;20231023;2
IST_R1-2-11;20231024;2
