stop_id;stop_name;stop_lat;stop_lon
8112;MARCHE;49.332439;1.094748
8121;LE HAMEL;49.334389;1.113624
8122;LE HAMEL;49.334394;1.113802
8131;CASANOVA;49.3285;1.1038
8132;CASANOVA;49.328401;1.10373
8141;GUSTAVE PICARD;49.329685;1.099378
8142;GUSTAVE PICARD;49.329277;1.099355
8143;ILE AUX BOEUFS;49.33152;1.09984
8144;ILE AUX BOEUFS;49.33155;1.09978
8151;POLE MULTIMODAL DE OISSEL;49.3422;1.101
8152;POLE MULTIMODAL DE OISSEL;49.3426;1.1011
8153;POLE MULTIMODAL DOC COTONI;49.34233;1.1003
8154;POLE MULTIMODAL DOC COTONI;49.34283;1.0996
8161;EDITH PIAF;49.32503;1.104696
8162;EDITH PIAF;49.32505;1.104683
8163;SIBELIUS;49.32397;1.1144
8171;LA RAQUETTE;49.317983;1.123949
8172;LA RAQUETTE;49.31795;1.123867
8181;LES DEVISES;49.318472;1.115596
8182;LES DEVISES;49.318483;1.115683
8191;VAL RENOUX;49.317756;1.102646
8192;VAL RENOUX;49.317717;1.103123
8201;BOUT DE LA VILLE;49.312914;1.080198
8202;BOUT DE LA VILLE;49.312927;1.079835
8211;ILE DE FRENEUSE;49.312124;1.077449
8212;ILE DE FRENEUSE;49.312058;1.076959
8221;MAIRIE DE FRENEUSE;49.309664;1.070801
8222;MAIRIE DE FRENEUSE;49.309724;1.070642
8231;HAMEAU BOURDET;49.307895;1.066005
8232;HAMEAU BOURDET;49.307873;1.06578
8241;LA RONCE;49.305928;1.060785
8242;LA RONCE;49.305951;1.060606
8251;HAMEAU FRERET;49.302318;1.051035
8252;HAMEAU FRERET;49.302407;1.050982
8261;LA RIBERDERIE;49.300185;1.043507
8262;LA RIBERDERIE;49.300277;1.043659
8271;LE HAZET;49.299131;1.040043
8272;LE HAZET;49.299194;1.040054
8281;ECLUSES;49.298249;1.033701
8282;ECLUSES;49.298296;1.033654
8291;COUVENT;49.297648;1.028987
8292;COUVENT;49.297709;1.028978
8301;ECUYERE;49.296395;1.016321
8302;ECUYERE;49.296445;1.016241
8311;BOBY  LAPOINTE;49.305814;1.024925
8312;BOBY  LAPOINTE;49.305856;1.024519
8321;LES PEINTRES;49.308374;1.036711
8322;LES PEINTRES;49.308533;1.036593
8331;CLAIR MATIN;49.315002;1.087066
8332;CLAIRMATIN;49.314994;1.087029
8341;COLLEGE JACQUES BREL;49.309232;1.02887
8342;COLLEGE JACQUES BREL;49.309232;1.02887
8351;LA CAPELLIERE;49.320923;1.090751
8352;LES CRETES;49.311307;1.070795
8361;BEAU SITE;49.3039;1.0515
8362;BEAU SITE;49.3038;1.0515
8363;LES FOLLIETTES;49.30683;1.05894
8364;LES FOLLIETTES;49.30682;1.05907
9000;1180 ROUTE DES ROCHES;49.326311;1.041936
9001;1180 ROUTE DES ROCHES;49.326324;1.041532
9002;STADE GEO ANDRE;49.39974;1.05607
9003;STADE GEO ANDRE;49.3996;1.05604
9004;LES BOUTTIERES;49.34817;0.99549
9005;LES BOUTTIERES;49.34809;0.99558
9006;CAMELIAS;49.39055;1.09455
9007;CAMELIAS;49.39071;1.09447
9008;CIRCUIT AUTO;49.3364;1.013043
9009;CIRCUIT AUTO;49.33647;1.01292
9010;PONT DE LA CHAPELLE;49.36459;1.10507
9011;PONT DE LA CHAPELLE;49.36464;1.10524
9012;EGLISE DES ESSARTS;49.34482;1.02005
9013;EGLISE DES ESSARTS;49.34566;1.02084
9014;GARE DE GRAND COURONNE;49.35409;1.01162
9015;GARE DE GRAND COURONNE;49.35433;1.01135
9016;VICTOR HUGO;49.3579;1.0116
9019;CENTRE L HERMINIER;49.333972;1.070471
9020;CENTRE L HERMINIER;49.333953;1.070684
9023;LYCEE FERNAND LEGER;49.36414;1.01346
9024;COLLEGE MATISSE;49.35047;1.00057
9025;COLLEGE MATISSE;49.3504;1.00028
9026;MAIRIE DE MOULINEAUX;49.34205;0.96597
9027;MAIRIE DE MOULINEAUX;49.34197;0.96598
9030;VICTOR HUGO;49.35773;1.00993
9031;CITE DES POTASSES;49.35172;1.01328
9032;CITE DES POTASSES;49.35172;1.01312
9033;ERNEST RENAN;49.3986;1.0724
9034;ERNEST RENAN;49.39843;1.07329
9035;ROUTE DU BAC;49.35;0.9328
9036;ROUTE DU BAC;49.3501;0.93283
9037;LYCEE VAL DE SEINE;49.3987;1.03725
9038;LYCEE VAL DE SEINE;49.3987;1.037
9041;ZENITH  PARC EXPO;49.39232;1.0585
9042;ZENITH  PARC EXPO;49.39215;1.05783
9043;LYCEE DES BRUYERES;49.4117;1.0727
9050;LANGUEDOC;49.3776;1.10186
9051;LANGUEDOC;49.37779;1.10193
9052;CIMETIERE CENTRE;49.343318;1.090846
9053;CIMETIERE CENTRE;49.343414;1.09118
9054;PLACE FERRER;49.345944;1.095931
9055;PLACE FERRER;49.345391;1.09664
9056;COQ GAULOIS;49.34788;1.02134
9057;COQ GAULOIS;49.34811;1.02116
9058;IME CLOS SAMSON;49.33351;1.02033
9059;IME CLOS SAMSON;49.333708;1.020962
9061;RIMBAUD;49.342121;1.022196
9062;RIMBAUD;49.342174;1.021971
